Player,TOV%,USG%,DBPM,BPM,Pos,3PA,2P%,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
Detlef Schrempf,15.9,17.4,0.8,1.1,SF,0.7,0.436,0.833,4.3,2.6,0.5,0.2,1.3,2.4,7.5
Dennis Scott,7.7,14.0,-1.1,-2.2,SF,2.9,0.375,0.842,1.6,1.0,0.4,0.1,0.5,1.6,5.6
Malik Sealy,11.2,18.6,-0.3,-0.3,SF,0.4,0.485,0.812,4.3,2.4,0.9,0.2,1.3,2.4,11.3
Brian Shaw,17.8,14.8,1.1,-0.8,SG,0.8,0.398,0.759,2.9,2.7,0.5,0.2,1.0,1.4,4.1
Dickey Simpkins,28.1,12.6,-0.4,-6.3,PF,0.0,0.407,0.542,5.4,1.4,0.3,0.3,1.9,3.1,4.2
Joe Smith,13.9,19.5,-0.3,-2.4,C,0.0,0.463,0.756,6.2,1.1,0.6,1.1,1.5,3.9,9.9
Michael Smith,16.0,10.9,0.1,0.4,SF,0.0,0.565,0.723,7.2,1.2,0.6,0.5,1.0,2.8,6.3
Steve Smith,10.0,20.0,0.1,2.9,SG,2.9,0.492,0.85,3.8,2.5,0.9,0.4,1.4,2.6,14.9
Rik Smits,9.9,26.8,-0.2,-1.5,C,0.0,0.485,0.739,5.1,1.1,0.3,1.3,1.4,3.2,12.9
Eric Snow,19.4,12.8,1.4,0.1,PG,0.5,0.446,0.712,3.2,7.6,1.7,0.1,2.0,3.0,7.9
Latrell Sprewell,13.2,24.7,0.5,1.0,SF,1.5,0.445,0.866,4.3,4.0,1.3,0.3,2.8,2.2,18.6
Jerry Stackhouse,14.9,29.2,-1.7,1.0,SG,3.5,0.462,0.815,3.8,4.5,1.3,0.4,3.8,2.3,23.6
John Starks,10.6,22.6,-1.3,-1.9,SG,4.6,0.388,0.847,2.7,4.9,1.1,0.1,1.8,2.8,13.9
John Stockton*,17.6,19.3,1.7,6.6,PG,1.5,0.53,0.86,2.6,8.6,1.7,0.2,2.2,2.3,12.1
Peja Stojaković,10.1,20.8,-0.4,1.6,SF,3.6,0.491,0.882,3.7,1.4,0.7,0.1,1.2,1.3,11.9
Damon Stoudamire,13.5,21.5,-0.3,0.9,PG,2.7,0.449,0.841,3.1,5.2,1.0,0.0,1.9,2.2,12.5
Erick Strickland,11.1,20.0,0.6,1.1,SG,2.7,0.447,0.831,4.8,3.1,1.5,0.2,1.5,2.8,12.8
Rod Strickland,17.3,22.0,-0.8,1.0,PG,0.3,0.44,0.702,3.8,7.5,1.4,0.3,2.7,2.1,12.6
Bob Sura,13.8,21.1,0.3,1.7,SG,4.5,0.484,0.697,3.9,3.9,1.2,0.3,2.0,2.8,13.8
Wally Szczerbiak,10.1,17.1,-0.1,0.9,SF,1.1,0.531,0.826,3.7,2.8,0.8,0.3,1.1,2.4,11.6
Maurice Taylor,13.6,24.8,-1.9,-3.8,PF,0.1,0.466,0.711,6.5,1.6,0.8,0.8,2.7,3.5,17.1
Jason Terry,19.1,19.2,-0.6,-1.0,PG,1.9,0.458,0.807,2.0,4.3,1.1,0.1,1.9,1.6,8.1
Kenny Thomas,15.2,18.0,-0.8,-2.6,PF,1.7,0.44,0.66,6.1,1.6,0.8,0.3,1.6,2.3,8.3
Kurt Thomas,15.1,16.7,1.4,-0.1,PF,0.0,0.506,0.781,6.3,1.0,0.6,0.5,1.3,3.5,8.0
Tim Thomas,13.0,21.0,-1.3,-0.8,SF,2.3,0.497,0.774,4.2,1.4,0.7,0.4,1.6,2.8,11.8
Nick Van Exel,14.4,22.7,-2.2,-0.2,PG,5.1,0.419,0.817,3.9,9.0,0.9,0.1,2.8,1.9,16.1
Keith Van Horn,14.6,26.8,-1.5,-0.3,PF,2.9,0.462,0.847,8.5,2.0,0.8,0.8,3.1,3.2,19.2
Antoine Walker,13.2,28.3,-1.1,0.7,PF,3.5,0.471,0.699,8.0,3.7,1.4,0.4,3.2,3.2,20.5
Ben Wallace*,14.9,9.7,2.1,1.8,PF,0.0,0.503,0.474,8.2,0.8,0.9,1.6,0.8,2.0,4.8
Rasheed Wallace,11.6,21.9,1.0,2.2,PF,0.6,0.537,0.704,7.0,1.8,1.1,1.3,1.9,2.7,16.4
Charlie Ward,17.8,13.7,2.5,2.8,PG,3.7,0.475,0.828,3.2,4.2,1.3,0.2,1.4,2.4,7.3
Clarence Weatherspoon,16.7,17.3,1.2,1.2,PF,0.0,0.513,0.738,5.8,1.2,0.7,0.6,1.3,2.1,7.2
Chris Webber*,11.2,28.2,2.1,5.7,PF,1.3,0.496,0.751,10.5,4.6,1.6,1.7,2.9,3.5,24.5
Bonzi Wells,15.3,25.2,1.0,1.1,SF,0.8,0.506,0.682,2.8,1.5,1.0,0.2,1.5,2.3,8.8
David Wesley,12.9,20.1,-0.3,0.1,PG,3.0,0.451,0.778,2.7,5.6,1.3,0.1,1.9,2.3,13.6
Jahidi White,14.8,18.4,-1.1,-2.7,C,0.0,0.507,0.536,6.9,0.2,0.4,1.0,1.2,2.9,7.1
Chris Whitney,15.6,18.7,-0.9,1.1,PG,3.1,0.455,0.848,1.6,3.8,0.7,0.1,1.3,2.0,7.8
Aaron Williams,12.9,17.8,0.4,0.3,PF,0.0,0.526,0.726,5.0,0.7,0.5,1.1,1.0,2.9,7.6
Eric Williams,12.5,16.6,-0.7,-1.7,SF,1.1,0.446,0.793,2.3,1.4,0.6,0.2,1.0,2.4,7.2
Jason Williams,22.0,20.3,-1.1,-1.9,PG,6.2,0.466,0.753,2.8,7.3,1.4,0.1,3.7,1.7,12.3
Jerome Williams,15.3,14.3,-0.5,1.2,PF,0.0,0.567,0.616,9.6,0.8,1.2,0.3,1.3,2.4,8.4
Monty Williams,15.1,20.2,0.0,-1.1,SF,0.1,0.49,0.741,3.3,1.4,0.6,0.2,1.5,2.5,8.7
Scott Williams,11.9,16.4,-1.1,-2.0,C,0.0,0.5,0.729,6.6,0.4,0.6,1.0,1.0,3.4,7.6
Walt Williams,13.3,20.0,-0.1,1.3,SF,3.4,0.5,0.821,4.0,2.1,0.6,0.6,1.5,2.5,10.9
Corliss Williamson,13.3,20.2,-0.9,-2.1,SF,0.0,0.5,0.769,3.8,1.1,0.5,0.3,1.4,2.5,10.3
Kevin Willis,13.3,19.5,-2.1,-5.6,PF,0.0,0.415,0.799,6.1,0.6,0.5,0.6,1.2,3.2,7.6
Metta World Peace,15.8,21.4,0.9,-0.2,SF,2.7,0.438,0.674,4.3,2.8,1.7,0.5,2.3,2.2,12.0
Lorenzen Wright,13.6,17.9,-0.9,-3.5,C,0.0,0.5,0.644,4.1,0.3,0.4,0.5,0.9,2.7,6.0
Shareef Abdur-Rahim,13.2,24.6,0.1,1.8,SF,0.8,0.487,0.834,9.1,3.1,1.1,1.0,2.9,2.9,20.5
Courtney Alexander,10.5,23.2,-1.9,-4.3,PG,0.7,0.421,0.82,2.2,1.0,0.7,0.1,1.2,2.1,9.5
Ray Allen*,12.1,24.4,-0.3,5.5,SG,5.7,0.506,0.888,5.2,4.6,1.5,0.2,2.5,2.3,22.0
John Amaechi,14.8,21.7,-1.8,-6.1,C,0.1,0.405,0.631,3.3,0.9,0.3,0.4,1.5,2.1,7.9
Derek Anderson,12.4,21.9,1.2,2.4,SG,3.1,0.422,0.851,4.4,3.7,1.5,0.2,2.0,2.3,15.5
Shandon Anderson,16.3,15.4,0.7,-0.4,SG,2.1,0.517,0.734,4.1,2.3,1.0,0.5,1.6,2.5,8.7
Darrell Armstrong,15.2,21.0,0.1,3.3,PG,5.4,0.451,0.884,4.6,7.0,1.8,0.2,2.7,2.1,15.9
Chucky Atkins,12.9,21.2,-1.0,-1.6,PG,4.2,0.423,0.692,2.1,4.1,0.8,0.1,1.8,2.3,12.0
Stacey Augmon,13.6,13.9,1.3,0.2,SG,0.1,0.485,0.655,2.4,1.5,0.7,0.3,0.7,1.6,4.7
Vin Baker,14.1,23.8,-1.8,-4.2,PF,0.2,0.429,0.723,5.7,1.2,0.5,1.0,2.1,3.5,12.2
Dana Barros,11.8,20.4,-0.4,-0.3,PG,1.8,0.453,0.85,1.6,1.8,0.5,0.0,1.0,1.1,8.0
Brent Barry,16.2,13.5,0.9,3.3,SG,3.4,0.517,0.816,3.1,3.4,1.2,0.2,1.3,1.9,8.8
Jon Barry,15.6,14.9,0.1,0.1,SG,2.1,0.463,0.877,1.5,2.1,0.5,0.1,0.9,1.1,5.1
Travis Best,12.5,19.3,0.6,1.4,PG,1.3,0.449,0.827,2.9,6.1,1.4,0.1,1.6,3.2,11.9
Mike Bibby,16.7,21.3,-1.2,0.7,PG,3.5,0.478,0.761,3.7,8.4,1.3,0.1,3.0,1.8,15.9
Chauncey Billups,14.4,19.5,-0.9,-0.5,SG,2.5,0.445,0.842,2.1,3.4,0.7,0.1,1.4,2.3,9.3
Mookie Blaylock,13.3,17.3,1.0,1.2,PG,3.3,0.424,0.697,3.9,6.7,2.4,0.3,1.9,1.9,11.0
Corie Blount,18.1,13.2,-0.9,-3.5,PF,0.1,0.448,0.614,5.9,0.9,0.6,0.3,1.1,2.4,4.6
Mark Blount,21.3,12.0,1.1,-3.1,C,0.0,0.505,0.697,3.6,0.5,0.6,1.2,1.0,2.9,3.9
Bruce Bowen,10.2,13.1,1.5,-1.1,SF,3.7,0.394,0.609,3.0,1.6,1.0,0.6,0.9,3.3,7.6
Shawn Bradley,14.3,13.9,2.5,1.6,C,0.1,0.494,0.787,7.4,0.5,0.4,2.8,1.1,3.1,7.1
Elton Brand,13.3,26.3,-1.2,1.1,PF,0.0,0.477,0.708,10.1,3.2,1.0,1.6,3.0,3.3,20.1
Terrell Brandon,11.2,22.2,0.5,3.1,PG,1.2,0.458,0.871,3.8,7.5,2.1,0.3,2.0,1.8,16.0
P.J. Brown,14.2,12.5,0.9,-0.4,C,0.1,0.447,0.852,9.3,1.6,1.0,1.2,1.4,3.3,8.5
Randy Brown,18.0,11.4,1.1,-3.1,PG,0.1,0.427,0.575,1.8,2.9,1.1,0.2,1.0,2.4,4.1
Kobe Bryant*,11.1,31.8,-0.3,4.8,SG,2.9,0.489,0.853,5.9,5.0,1.7,0.6,3.2,3.3,28.5
Jason Caffey,14.3,16.6,-1.0,-2.2,PF,0.0,0.488,0.673,5.0,0.8,0.5,0.4,1.1,2.6,7.1
Marcus Camby,8.5,17.0,2.5,4.6,C,0.1,0.53,0.667,11.5,0.8,1.0,2.2,1.0,3.3,12.0
Elden Campbell,12.4,22.8,1.1,-0.4,PF,0.1,0.443,0.709,7.8,1.3,0.8,1.8,1.8,3.6,13.1
Anthony Carter,18.5,19.2,1.1,-1.9,PG,0.6,0.43,0.631,2.5,3.7,1.0,0.1,1.7,2.1,6.4
Vince Carter,8.2,30.7,0.1,7.6,SF,5.3,0.477,0.765,5.5,3.9,1.5,1.1,2.2,2.7,27.6
Sam Cassell,14.7,24.9,-1.5,1.1,PG,1.3,0.49,0.858,3.8,7.6,1.2,0.1,2.9,2.8,18.2
Chris Childs,29.9,13.3,0.8,-2.6,PG,1.4,0.45,0.845,2.6,4.6,0.8,0.2,2.0,3.1,4.7
Doug Christie,14.3,16.2,2.3,2.3,SG,3.1,0.403,0.897,4.4,3.6,2.3,0.6,1.9,2.8,12.3
Keon Clark,12.6,18.6,1.0,-1.1,PF,0.0,0.481,0.592,5.4,0.9,0.4,1.9,1.1,3.0,7.9
Mateen Cleaves,23.2,20.5,-0.7,-5.2,PG,0.2,0.405,0.708,1.7,2.7,0.6,0.0,1.8,2.0,5.4
Jamal Crawford,21.0,17.9,-1.5,-4.4,PG,1.9,0.353,0.794,1.5,2.3,0.7,0.2,1.4,1.1,4.6
Austin Croshere,14.5,23.4,-1.0,-1.2,PF,2.6,0.417,0.866,4.8,1.1,0.4,0.6,1.7,2.2,10.1
Vonteego Cummings,13.8,18.6,-0.8,-3.4,PG,2.2,0.348,0.681,2.1,3.4,1.0,0.2,1.4,2.4,7.3
Michael Curry,14.8,12.0,0.0,-4.3,SG,0.1,0.455,0.849,1.8,1.9,0.4,0.0,0.9,2.5,5.2
Erick Dampier,18.2,18.4,-0.8,-5.2,C,0.0,0.404,0.532,5.8,1.4,0.4,1.3,1.9,2.9,7.4
Antonio Daniels,14.2,17.5,0.4,1.7,PG,2.3,0.496,0.776,2.1,3.8,0.8,0.2,1.4,1.5,9.4
Antonio Davis,11.4,19.5,-0.8,-1.1,C,0.0,0.434,0.754,10.1,1.4,0.3,1.9,1.7,2.9,13.7
Baron Davis,17.0,19.2,1.4,2.4,PG,3.3,0.474,0.677,5.0,7.3,2.1,0.4,2.8,3.3,13.8
Dale Davis,10.8,13.4,-0.1,0.2,C,0.0,0.501,0.632,7.5,1.3,0.5,0.9,0.8,2.5,7.2
Emanual Davis,18.4,14.7,0.7,-0.4,SG,2.0,0.435,0.818,2.5,2.2,1.0,0.2,1.2,1.6,5.8
Hubert Davis,15.0,14.5,-1.1,-1.7,PG,2.6,0.45,0.871,2.1,1.7,0.5,0.0,1.2,1.8,7.9
Tony Delk,9.0,22.0,0.1,-0.6,SG,2.0,0.436,0.787,3.2,2.0,0.9,0.2,1.2,2.1,12.3
Michael Dickerson,12.5,22.7,-1.5,-2.2,SG,3.3,0.429,0.763,3.3,3.3,0.9,0.4,2.3,3.0,16.3
Vlade Divac*,17.4,20.1,1.6,1.9,C,0.2,0.486,0.691,8.3,2.9,1.1,1.1,2.4,3.0,12.0
Michael Doleac,9.6,19.4,0.1,-4.3,C,0.0,0.42,0.847,3.5,0.8,0.5,0.5,0.8,3.1,6.4
Keyon Dooling,17.6,20.0,-0.9,-2.5,PG,1.1,0.426,0.698,1.2,2.3,0.5,0.1,1.2,1.4,5.9
Sherman Douglas,18.3,17.9,-1.4,-3.9,PG,0.7,0.433,0.748,1.3,2.4,0.6,0.1,1.3,1.6,5.7
Bryce Drew,16.9,14.4,-2.1,-4.9,PG,2.2,0.378,0.737,1.4,3.9,0.7,0.1,1.4,2.1,6.3
Tim Duncan*,12.5,28.7,1.8,4.7,PF,0.3,0.504,0.618,12.2,3.0,0.9,2.3,3.0,3.0,22.2
Howard Eisley,12.3,15.6,0.6,0.0,SG,3.3,0.389,0.825,2.4,3.6,1.2,0.1,1.2,2.7,9.0
Mario Elie,17.8,10.0,2.0,-0.2,SG,1.5,0.466,0.797,2.3,1.9,0.9,0.2,0.9,1.6,4.4
Sean Elliott,11.9,16.3,1.1,1.7,SF,2.5,0.438,0.714,3.3,1.6,0.4,0.5,1.0,1.5,7.9
LaPhonso Ellis,12.8,19.6,-0.3,-1.2,PF,0.3,0.469,0.79,6.0,1.1,0.8,0.9,1.3,3.5,9.4
Evan Eschmeyer,17.8,10.1,0.4,-2.6,C,0.0,0.46,0.657,4.9,0.5,0.6,0.8,0.7,3.0,3.4
Patrick Ewing*,16.0,20.3,-0.2,-3.2,C,0.0,0.431,0.685,7.4,1.2,0.7,1.2,1.9,2.9,9.6
Danny Ferry,11.4,12.2,0.6,0.0,SF,2.0,0.493,0.733,2.8,0.9,0.4,0.3,0.6,2.1,5.6
Michael Finley,10.1,24.9,-0.5,1.9,SF,3.2,0.481,0.775,5.2,4.4,1.4,0.4,2.3,2.1,21.5
Marcus Fizer,14.7,24.7,-2.8,-6.1,PF,0.5,0.442,0.727,4.3,1.1,0.4,0.3,1.7,2.4,9.5
Jeff Foster,17.0,12.4,-0.2,-2.1,C,0.1,0.476,0.516,5.5,0.5,0.5,0.4,0.7,2.1,3.5
Rick Fox,16.3,16.3,-0.3,0.5,SF,3.7,0.488,0.779,4.0,3.2,0.9,0.4,1.7,2.7,9.6
Adonal Foyle,16.3,14.0,0.8,-2.8,C,0.0,0.416,0.441,7.0,0.8,0.5,2.7,1.4,2.3,5.9
Steve Francis,15.8,24.2,0.5,5.0,PG,4.2,0.472,0.817,6.9,6.5,1.8,0.4,3.3,3.4,19.9
Kevin Garnett*,12.0,27.0,1.4,6.0,PF,0.8,0.486,0.764,11.4,5.0,1.4,1.8,2.8,2.5,22.0
Pat Garrity,9.9,19.2,-1.0,-3.0,SF,2.9,0.358,0.867,2.8,0.7,0.5,0.2,0.9,3.2,8.3
Chris Gatling,12.5,25.8,-1.2,-1.9,PF,1.2,0.47,0.684,5.3,0.8,0.7,0.4,1.6,2.5,11.4
Brian Grant,12.7,23.4,0.2,-0.1,C,0.0,0.48,0.797,8.8,1.2,0.7,0.9,2.1,3.6,15.2
Horace Grant,6.9,12.9,-0.6,0.0,PF,0.0,0.465,0.775,7.1,1.6,0.7,0.8,0.6,2.4,8.5
A.C. Green,10.8,14.4,0.0,-2.2,PF,0.1,0.453,0.712,3.8,0.5,0.4,0.1,0.5,1.5,4.5
Tom Gugliotta,11.0,17.9,1.0,-2.1,PF,0.2,0.397,0.792,4.5,1.0,0.8,0.4,0.9,1.9,6.4
Richard Hamilton,12.6,28.1,-2.6,-2.2,SF,1.9,0.46,0.868,3.1,2.9,1.0,0.1,2.6,2.6,18.1
Tim Hardaway*,14.4,24.3,-0.4,2.4,PG,6.7,0.417,0.801,2.6,6.3,1.2,0.1,2.5,2.0,14.9
Ron Harper,17.5,13.9,0.4,0.2,PG,1.5,0.543,0.708,3.5,2.4,0.8,0.5,1.3,1.5,6.5
Matt Harpring,13.1,19.2,-1.0,-1.3,SG,0.9,0.477,0.812,4.3,1.8,0.8,0.3,1.6,2.9,11.1
Al Harrington,19.5,18.8,-0.1,-3.4,PF,0.1,0.448,0.656,4.9,1.7,0.8,0.2,1.9,2.9,7.5
Othella Harrington,19.3,19.2,-0.4,-3.3,C,0.0,0.49,0.763,5.2,0.8,0.5,0.6,2.0,3.2,9.0
Lucious Harris,8.5,16.4,-0.4,-0.7,SG,1.8,0.445,0.77,3.9,1.8,1.0,0.2,0.9,1.7,9.4
Alan Henderson,13.8,22.6,-1.9,-3.0,PF,0.0,0.445,0.638,5.6,0.7,0.7,0.4,1.7,2.2,10.5
Tyrone Hill,15.2,16.0,-0.8,-2.4,PF,0.0,0.474,0.63,9.0,0.6,0.5,0.4,1.7,3.2,9.6
Fred Hoiberg,11.6,13.2,0.4,1.2,SG,3.4,0.465,0.866,4.2,3.6,1.3,0.2,1.0,2.1,9.1
Robert Horry,15.9,14.0,0.6,-0.4,PF,2.0,0.415,0.711,3.7,1.6,0.7,0.7,1.0,2.7,5.2
Allan Houston,10.7,25.7,-0.1,1.1,SG,3.2,0.467,0.909,3.6,2.2,0.7,0.1,2.1,2.4,18.7
Juwan Howard,14.9,24.6,-1.2,-1.2,PF,0.0,0.48,0.773,7.1,2.8,0.9,0.5,3.0,3.6,18.0
Troy Hudson,18.0,22.4,-1.7,-4.3,PG,1.5,0.392,0.817,1.4,2.2,0.5,0.0,1.2,1.1,4.8
Larry Hughes,14.2,24.4,-0.2,-1.4,SG,1.5,0.403,0.766,5.5,4.5,1.9,0.6,3.0,2.9,16.5
Lindsey Hunter,7.6,20.2,0.1,1.2,PG,5.0,0.388,0.802,2.1,2.7,1.2,0.1,0.8,2.1,10.1
Allen Iverson*,10.0,35.9,1.1,6.1,SG,4.3,0.441,0.814,3.8,4.6,2.5,0.3,3.3,2.1,31.1
Bobby Jackson,15.4,17.9,1.3,0.1,PG,1.3,0.455,0.739,3.1,2.0,1.1,0.1,1.3,1.8,7.2
Jim Jackson,15.5,22.3,-1.3,-3.4,SF,1.4,0.386,0.822,4.0,2.9,0.9,0.2,2.3,2.5,11.5
Marc Jackson,13.6,20.5,-1.4,-1.6,C,0.5,0.478,0.802,7.5,1.2,0.7,0.6,1.9,2.9,13.2
Mark Jackson,21.9,14.2,-0.2,1.0,PG,2.5,0.463,0.785,3.7,8.0,1.0,0.1,2.1,1.7,7.6
Stephen Jackson,17.1,20.8,0.1,-1.6,SF,2.0,0.458,0.719,2.7,1.8,1.1,0.2,1.7,2.2,8.2
Antawn Jamison,8.9,27.9,-2.0,0.8,SF,2.5,0.459,0.715,8.7,2.0,1.4,0.3,2.4,2.7,24.9
Avery Johnson,15.5,14.1,0.1,-1.2,PG,0.1,0.452,0.683,1.5,4.3,0.6,0.1,1.1,1.6,5.6
DerMarr Johnson,17.8,17.7,-0.8,-3.5,SF,1.6,0.399,0.736,2.3,0.8,0.6,0.4,1.2,1.7,5.1
Ervin Johnson,16.4,6.5,0.5,-0.8,C,0.0,0.545,0.538,7.5,0.5,0.5,1.2,0.6,3.1,3.2
Larry Johnson,12.9,17.4,0.9,-0.1,PF,2.5,0.448,0.797,5.6,2.0,0.6,0.4,1.5,3.2,9.9
Damon Jones,14.8,16.6,-1.1,-0.3,PG,3.3,0.465,0.712,1.7,3.2,0.5,0.0,1.1,0.8,6.5
Eddie Jones,12.0,23.9,2.1,4.6,SG,3.8,0.471,0.844,4.6,2.7,1.7,0.9,2.1,2.9,17.4
Shawn Kemp,17.4,24.5,0.1,-4.8,PF,0.2,0.408,0.771,3.8,1.0,0.7,0.3,1.5,2.7,6.5
Jason Kidd*,18.3,22.7,1.7,4.2,PG,3.0,0.442,0.814,6.4,9.8,2.2,0.3,3.7,2.2,16.9
Brevin Knight,18.5,15.1,1.6,-1.4,PG,0.2,0.382,0.818,3.2,5.9,1.9,0.1,1.7,2.9,6.3
Toni Kukoč*,14.5,21.5,0.2,3.2,SF,2.4,0.482,0.631,4.0,3.1,0.7,0.2,1.7,1.5,11.1
Christian Laettner,17.6,21.1,0.7,0.6,C,0.2,0.507,0.833,4.7,1.6,0.9,0.6,1.8,3.1,9.3
Raef LaFrentz,9.5,18.6,0.7,0.8,C,1.8,0.499,0.698,7.8,1.4,0.5,2.6,1.2,3.7,12.9
Trajan Langdon,13.1,16.1,-0.1,-1.0,SG,1.9,0.444,0.895,1.4,1.2,0.6,0.1,0.8,1.8,6.0
Voshon Lenard,9.9,19.7,-1.1,-0.8,SG,4.8,0.407,0.797,2.9,2.4,0.8,0.2,1.3,2.1,12.2
Rashard Lewis,11.6,18.4,-0.4,2.1,PF,3.7,0.503,0.826,6.9,1.6,1.2,0.6,1.7,2.4,14.8
Grant Long,13.8,13.6,1.2,-1.1,PF,0.2,0.447,0.713,4.2,1.3,1.1,0.2,0.9,2.4,6.0
Felipe López,13.2,18.0,0.2,-1.0,SG,0.7,0.451,0.699,3.3,1.5,0.9,0.4,1.2,2.2,7.9
George Lynch,13.6,13.7,1.3,0.5,SF,0.7,0.463,0.719,7.2,1.7,1.2,0.4,1.3,2.7,8.4
Corey Maggette,14.7,24.5,-1.0,0.2,SF,0.8,0.483,0.774,4.2,1.2,0.5,0.1,1.5,2.0,10.0
Jamaal Magloire,15.4,16.7,0.8,-2.2,C,0.0,0.454,0.655,4.0,0.4,0.2,1.1,0.8,1.9,4.6
Dan Majerle,11.2,11.6,2.3,0.4,SG,3.4,0.385,0.818,3.1,1.7,1.0,0.3,0.7,1.8,5.0
Karl Malone*,12.9,30.0,1.1,6.6,PF,0.1,0.499,0.793,8.3,4.5,1.1,0.8,3.0,2.7,23.2
Matt Maloney,16.2,13.8,0.5,-0.9,PG,2.6,0.461,0.765,2.1,2.8,1.0,0.1,1.3,1.7,6.7
Danny Manning,14.6,23.2,0.1,-1.1,PF,0.3,0.508,0.729,2.6,1.1,0.6,0.4,1.2,2.7,7.4
Stephon Marbury,11.8,29.7,-1.6,4.3,PG,5.0,0.481,0.79,3.1,7.6,1.2,0.1,2.9,2.2,23.9
Shawn Marion,9.1,22.1,1.8,4.1,SF,1.0,0.497,0.81,10.7,2.0,1.7,1.4,1.6,2.7,17.3
Donyell Marshall,11.7,21.7,0.6,3.7,SF,1.6,0.535,0.751,7.0,1.6,1.0,1.0,1.6,2.4,13.6
Kenyon Martin,13.8,19.9,0.4,-1.7,PF,0.2,0.45,0.63,7.4,1.9,1.1,1.7,2.0,4.1,12.0
Jamal Mashburn,12.0,27.1,0.0,2.1,SF,3.8,0.428,0.766,7.6,5.4,1.1,0.2,2.8,2.4,20.1
Anthony Mason,13.3,20.0,1.1,1.9,PF,0.0,0.482,0.781,9.6,3.1,1.0,0.3,2.2,2.9,16.1
Desmond Mason,10.0,15.8,-1.0,-2.8,SF,0.9,0.46,0.736,3.2,0.8,0.5,0.3,0.7,1.9,5.9
George McCloud,13.7,18.9,-0.8,-1.0,SF,3.1,0.411,0.84,2.9,3.7,0.7,0.4,1.5,2.2,9.6
Jelani McCoy,19.7,15.0,-0.4,-3.1,C,0.0,0.523,0.441,3.6,0.8,0.3,0.7,1.1,2.0,4.5
Antonio McDyess,10.7,26.5,-0.8,1.7,PF,0.0,0.495,0.7,12.1,2.1,0.6,1.5,2.3,3.1,20.8
Tracy McGrady*,9.1,31.2,0.5,7.0,SG,2.2,0.468,0.733,7.5,4.6,1.5,1.5,2.6,2.1,26.8
Jeff McInnis,10.1,18.2,-0.9,-0.3,PG,1.8,0.482,0.807,2.7,5.5,0.9,0.1,1.4,2.5,12.9
Aaron McKie,20.3,18.9,1.3,1.4,SG,2.2,0.524,0.768,4.1,5.0,1.4,0.1,2.7,2.3,11.6
Ron Mercer,9.6,24.8,-2.2,-1.9,SG,0.8,0.452,0.825,3.9,3.3,1.3,0.4,2.1,2.4,19.7
Chris Mihm,15.2,20.4,-1.3,-4.2,C,0.0,0.444,0.794,4.7,0.3,0.3,0.9,1.4,2.6,7.6
Darius Miles,16.7,19.1,0.8,-0.5,SF,0.2,0.519,0.521,5.9,1.2,0.6,1.5,1.8,2.4,9.4
Andre Miller,18.1,23.2,-0.2,2.8,PG,0.8,0.465,0.833,4.4,8.0,1.5,0.3,3.2,2.8,15.8
Brad Miller,13.1,18.1,-1.0,-1.2,C,0.1,0.438,0.743,7.4,1.9,0.6,0.7,1.3,3.1,8.9
Mike Miller,9.7,18.5,-0.9,-0.2,SF,4.4,0.457,0.711,4.0,1.7,0.6,0.2,1.2,2.4,11.9
Reggie Miller*,9.1,21.5,-0.6,2.3,SG,5.7,0.487,0.928,3.5,3.2,1.0,0.2,1.6,2.0,18.9
Cuttino Mobley,10.4,24.3,-0.8,0.9,SG,3.2,0.454,0.831,5.0,2.5,1.1,0.3,2.1,2.1,19.5
Mikki Moore,18.5,15.0,0.8,-2.6,C,0.0,0.494,0.731,3.9,0.4,0.3,0.8,0.9,2.5,4.4
Lamond Murray,12.2,23.5,-1.0,-1.1,SF,2.1,0.434,0.735,4.4,1.6,1.1,0.3,1.8,2.2,12.8
Dikembe Mutombo*,17.4,14.3,1.3,1.7,C,0.0,0.484,0.725,13.5,1.0,0.4,2.7,1.9,2.7,10.0
Steve Nash*,18.5,21.1,-1.1,2.8,PG,3.1,0.518,0.895,3.2,7.3,1.0,0.1,2.9,2.3,15.6
Tyrone Nesby,10.1,18.5,-1.1,-3.6,SF,2.9,0.4,0.802,2.8,1.2,0.8,0.3,1.0,2.5,8.3
Rasho Nesterović,13.7,14.8,0.0,-3.5,C,0.0,0.462,0.523,3.9,0.6,0.3,0.9,0.8,2.6,4.5
Johnny Newman,11.4,20.6,-1.1,-2.1,SG,2.1,0.447,0.855,2.1,1.4,0.8,0.1,1.3,2.8,10.9
Moochie Norris,17.7,16.8,0.1,1.0,PG,1.1,0.491,0.778,2.4,3.5,0.8,0.0,1.3,1.0,6.6
Dirk Nowitzki,9.5,23.8,0.5,5.4,PF,4.8,0.513,0.838,9.2,2.1,1.0,1.2,1.9,3.0,21.8
Jermaine O'Neal,13.4,21.2,1.0,0.3,C,0.1,0.468,0.601,9.8,1.2,0.6,2.8,2.0,3.5,12.9
Shaquille O'Neal*,10.5,31.6,0.7,7.7,C,0.0,0.573,0.513,12.7,3.7,0.6,2.8,2.9,3.5,28.7
Charles Oakley,14.0,16.0,0.8,-1.4,PF,0.6,0.399,0.836,9.5,3.4,1.0,0.6,1.8,3.3,9.6
Lamar Odom,17.8,24.1,1.1,4.0,PF,3.3,0.506,0.679,7.8,5.2,1.0,1.6,3.5,3.1,17.2
