Player,TOV%,USG%,DBPM,BPM,Pos,3PA,2P%,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
Bimbo Coles,13.6,17.4,-0.6,-2.2,PG,0.5,0.472,0.817,2.2,3.6,0.7,0.1,1.3,2.2,8.1
Austin Croshere,13.8,21.1,0.0,0.7,PF,2.1,0.47,0.848,6.4,1.1,0.5,0.7,1.5,2.5,10.3
Vonteego Cummings,15.3,20.2,-0.5,-1.7,PG,2.0,0.429,0.751,2.5,3.3,1.2,0.2,1.8,2.3,9.4
Dell Curry,7.9,20.5,-1.1,0.8,SG,3.6,0.467,0.75,1.5,1.3,0.5,0.1,0.6,1.0,7.6
Michael Curry,13.9,14.3,-0.8,-4.0,SG,0.1,0.484,0.839,1.3,1.1,0.4,0.1,0.9,2.5,6.2
Antonio Daniels,13.0,17.2,1.2,1.5,SG,1.0,0.507,0.713,1.3,2.6,0.8,0.1,0.9,1.1,6.2
Antonio Davis,12.1,17.8,-1.0,-2.0,C,0.0,0.44,0.765,8.8,1.3,0.5,1.3,1.5,3.4,11.5
Baron Davis,21.9,18.9,1.2,-0.8,PG,1.4,0.488,0.634,2.0,3.8,1.2,0.2,1.7,2.5,5.9
Dale Davis,11.6,16.7,0.1,0.8,C,0.0,0.502,0.685,9.9,0.9,0.7,1.3,1.2,2.7,10.0
Hubert Davis,12.3,13.8,-1.6,-2.0,PG,2.1,0.455,0.87,1.7,1.8,0.3,0.0,0.9,1.4,7.4
Andrew DeClercq,17.4,14.8,0.6,-2.3,C,0.0,0.508,0.588,5.4,0.7,0.8,0.8,1.3,3.4,6.6
Vinny Del Negro,12.3,14.3,-0.8,-2.1,PG,0.4,0.482,0.897,1.6,2.4,0.5,0.0,0.7,1.2,5.2
Michael Dickerson,10.5,23.1,-1.0,0.0,SG,3.5,0.444,0.83,3.4,2.5,1.4,0.5,2.0,2.8,18.2
Vlade Divac*,17.3,19.3,2.4,2.8,C,0.3,0.511,0.691,8.0,3.0,1.3,1.3,2.3,3.1,12.3
Michael Doleac,10.1,20.2,0.0,-2.6,C,0.0,0.452,0.842,4.1,0.8,0.4,0.4,0.8,2.8,7.0
Bryce Drew,13.1,17.1,-0.9,-2.1,PG,2.3,0.396,0.849,1.4,2.3,0.6,0.0,0.9,1.1,5.8
Tim Duncan*,13.5,28.7,1.8,5.6,PF,0.1,0.494,0.761,12.4,3.2,0.9,2.2,3.3,2.8,23.2
Howard Eisley,15.5,18.8,-0.5,-1.7,PG,2.0,0.434,0.824,2.1,4.2,0.7,0.1,1.6,2.7,8.6
Mario Elie,19.9,13.6,1.2,-0.3,SF,2.4,0.446,0.846,3.2,2.4,0.9,0.1,1.6,2.0,7.5
LaPhonso Ellis,9.3,18.9,-0.9,-1.9,PF,0.4,0.465,0.695,5.0,1.0,0.6,0.4,0.9,2.3,8.4
Patrick Ewing*,13.6,24.3,0.4,-0.2,C,0.0,0.467,0.731,9.7,0.9,0.6,1.4,2.3,3.2,15.0
Tony Farmer,16.1,17.9,0.1,-0.5,PF,0.6,0.444,0.766,4.0,1.0,0.9,0.2,1.1,2.3,6.3
Jamie Feick,10.9,10.8,-1.4,-2.3,C,0.0,0.424,0.707,9.3,0.8,0.5,0.5,0.7,2.5,5.7
Danny Ferry,12.0,15.1,-0.2,-1.4,PF,1.2,0.511,0.912,3.8,1.1,0.3,0.4,0.9,2.9,7.3
Michael Finley,9.9,25.1,-0.9,2.1,SF,3.0,0.467,0.82,6.3,5.3,1.3,0.4,2.4,2.1,22.6
Derek Fisher,12.1,15.1,1.3,-1.6,PG,2.1,0.363,0.724,1.8,2.8,1.0,0.0,1.0,1.9,6.3
Rick Fox,14.0,18.5,0.9,-0.6,SF,2.2,0.464,0.808,2.4,1.7,0.6,0.3,1.1,2.5,6.5
Adonal Foyle,14.5,12.5,-0.1,-2.9,C,0.0,0.508,0.378,5.6,0.6,0.3,1.8,0.9,2.9,5.5
Steve Francis,19.3,25.0,-0.6,2.0,PG,4.0,0.483,0.786,5.3,6.6,1.5,0.4,4.0,3.0,18.0
Lawrence Funderburke,8.6,18.8,-0.2,1.0,PF,0.0,0.526,0.706,3.1,0.4,0.4,0.3,0.5,1.2,6.4
Kevin Garnett*,13.6,27.4,1.7,6.3,PF,1.0,0.504,0.765,11.8,5.0,1.5,1.6,3.3,2.5,22.9
Pat Garrity,11.8,20.4,-0.6,-1.6,SF,2.4,0.461,0.721,2.6,0.7,0.4,0.2,1.0,2.4,8.2
Chris Gatling,14.9,26.7,-0.2,-1.0,PF,0.8,0.474,0.713,5.9,0.8,1.0,0.3,2.0,2.9,11.9
Matt Geiger,12.3,23.1,-1.4,-3.5,C,0.1,0.444,0.779,6.0,0.6,0.4,0.3,1.4,3.0,9.7
Kendall Gill,7.7,21.9,0.7,0.0,SF,1.0,0.428,0.71,3.7,2.8,1.8,0.5,1.2,2.8,13.1
Brian Grant,16.5,17.8,0.2,-0.8,PF,0.0,0.491,0.675,5.5,1.0,0.5,0.4,1.3,2.6,7.3
Horace Grant,8.6,11.6,0.3,-0.7,PF,0.1,0.447,0.721,7.8,2.5,0.7,0.8,0.8,2.5,8.1
A.C. Green,11.0,11.0,0.8,-0.3,PF,0.0,0.449,0.695,5.9,1.0,0.6,0.2,0.6,1.5,5.0
Adrian Griffin,16.2,13.0,1.4,0.6,SG,0.8,0.447,0.753,5.2,2.5,1.6,0.2,1.3,3.1,6.7
Tom Gugliotta,13.0,20.4,1.2,1.4,PF,0.1,0.485,0.775,7.9,2.3,1.5,0.6,2.0,2.8,13.7
Richard Hamilton,11.2,24.2,-2.2,-3.7,SG,1.1,0.428,0.774,1.8,1.5,0.4,0.1,1.2,2.0,9.0
